Empresa,2019,2020,2021,2022,2023,2024
Audi,,,,39797753.422745906,22442822.38442822,280011111.1111111
BMW,5882180.225762377,9100518.405216984,1089736.8186038677,14039293.25214174,48213800.57651896,202600000.0
BYD,,8091677.468815245,7258825.877262162,15779092.87938821,22442057.50577134,-inf
Changan,,,4419683.651308204,,5896428.571428572,93104166.66666667
Chevrolet Bolt,,,,,6308529.803529805,
Dongfeng Sokon,,,,,21460040.295500334,144500000.0
Hyundai,,,,,0.0,178000000.0
JAC Motors,,6547393.043955348,,,7038413.988349466,0.0
JMC,,,,,,0.0
KIA,,,,,,148060909.0909091
MG (Morris Garages),,,,20414993.104552954,7533156.825681582,176278571.42857143
Mazda,,,,,34216174.51616512,140900000.0
Mercedes-Benz,,,,,31882097.795782145,427083333.3333333
Nissan,,9092000.743456014,17001837.660330128,,,213000000.0
Others,4671314.415314837,,49533580.82377355,18495850.60723551,17894736.842105262,113833333.33333333
Renault,4260874.045545779,6488340.3556501595,7637742.963338445,5643432.737549432,20927040.454222854,113934666.66666667
"Tesla, Inc",,10493304.15931668,11929036.217171913,12591144.799583443,46536388.74999997,0.0
Toyota,,,,,-319220.430107524,154950000.0
Volvo,,,,27300343.936519105,58461470.29411763,225506789.42105263
Zhidou,1439327.4458845824,,6509441.925411181,5880100.093045319,54366604.14951867,
