Empresa,2019,2020,2021,2022,2023,2024
Audi,,,,51381164.705882356,16000000.0,19133333.333333332
BMW,10785357.142857142,14605128.205128204,4722010.0,16017634.782608695,41309590.74509804,23383333.333333332
BYD,,11833333.333333332,10202000.0,20150546.4,21997239.666666668,14600526.315789474
Changan,,,5996000.0,,4333333.333333333,62500.0
Chevrolet Bolt,,,,,4609090.909090909,
Dongfeng Sokon,,,,,17333333.333333332,21490000.0
Hyundai,,,,,0.0,6990000.0
JAC Motors,,10066666.666666666,,,5197333.333333333,0.0
JMC,,,,,,0.0
KIA,,,,,,1933636.3636363635
MG (Morris Garages),,,,27500000.0,5993333.333333333,3721428.5714285714
Mazda,,,,,30484761.904761903,66100000.0
Mercedes-Benz,,,,,24442083.333333332,41408333.333333336
Nissan,,15458888.888888888,29462666.666666668,,,7000000.0
Others,8106855.142857143,,77200000.0,34978839.5,13333333.333333332,6166666.666666667
Renault,7583356.892857143,11981428.57142857,10804000.0,6950000.0,16985714.285714287,6231333.333333333
"Tesla, Inc",,15787890.0,15343242.0,13250000.0,33340000.0,0.0
Toyota,,,,,0.0,5050000.0
Volvo,,,,32798225.166666668,50006666.666666664,10809000.05263158
Zhidou,2285714.2857142854,,10662666.666666666,7083333.333333333,54907234.0,
