Empresa,2019,2020,2021,2022,2023,2024
Audi,,,,34254109.803921565,12000000.0,19133333.333333332
BMW,6291458.333333333,8763076.923076924,2951256.25,10678423.188405797,30982193.05882353,23383333.333333332
BYD,,7100000.0,6376250.0,13433697.6,16497929.75,14600526.315789474
Changan,,,3747500.0,,3250000.0,62500.0
Chevrolet Bolt,,,,,3456818.1818181816,
Dongfeng Sokon,,,,,13000000.0,21490000.0
Hyundai,,,,,0.0,6990000.0
JAC Motors,,6040000.0,,,3898000.0,0.0
JMC,,,,,,0.0
KIA,,,,,,1933636.3636363635
MG (Morris Garages),,,,18333333.333333332,4495000.0,3721428.5714285714
Mazda,,,,,22863571.42857143,66100000.0
Mercedes-Benz,,,,,18331562.5,41408333.333333336
Nissan,,9275333.333333334,18414166.666666668,,,7000000.0
Others,4728998.833333333,,48250000.0,23319226.333333332,10000000.0,6166666.666666667
Renault,4423624.854166667,7188857.142857143,6752500.0,4633333.333333333,12739285.714285715,6231333.333333333
"Tesla, Inc",,9472734.0,9589526.25,8833333.333333334,25005000.0,0.0
Toyota,,,,,0.0,5050000.0
Volvo,,,,21865483.444444444,37505000.0,10809000.05263158
Zhidou,1333333.3333333333,,6664166.666666667,4722222.222222222,41180425.5,
